白河水庫	1404.16	368.0	2026-01-15
烏山頭水庫	7737.94	3809.0	2026-01-15
曾文水庫	49181.0	36354.0	2026-01-15
南化水庫	8522.63	5289.35	2026-01-15
鏡面水庫	96.57	76.46	2026-01-15
阿公店水庫	1467.92	1151.0	2026-01-15
鳳山水庫	-1.0	447.64	2026-01-15
牡丹水庫	2622.08	2303.0	2026-01-15
成功水庫	121.0	108.32	2026-01-14
興仁水庫	74.0	33.31	2026-01-14
太湖水庫	148.08	128.52	2026-01-15
田埔水庫	48.62	36.79	2026-01-15
金沙水庫	43.47	33.4	2026-01-15
后沃水庫	41.63	29.16	2026-01-15
石門水庫	20526.0	20303.91	2026-01-16
西勢水庫	39.6	22.87	2026-01-16
新山水庫	995.96	764.81	2026-01-16
翡翠水庫	36997.6	34752.96	2026-01-16
寶山水庫	500.83	370.33	2026-01-16
寶山第二水庫	3379.78	2416.68	2026-01-16
永和山水庫	2993.43	2214.72	2026-01-16
明德水庫	1242.28	783.48	2026-01-15
鯉魚潭水庫	11584.35	7912.98	2026-01-16
德基水庫	18432.88	17470.71	2026-01-16
石岡壩	120.21	28.54	2026-01-16
霧社水庫	2572.22	2021.44	2026-01-16
日月潭水庫	12846.14	10846.69	2026-01-16
湖山水庫	5041.0	2947.67	2026-01-16
仁義潭水庫	2459.19	1210.63	2026-01-16
蘭潭水庫	919.7	507.94	2026-01-16
白河水庫	1404.16	366.0	2026-01-16
烏山頭水庫	7737.94	4194.0	2026-01-16
曾文水庫	49181.0	35925.0	2026-01-16
南化水庫	8522.63	5230.2	2026-01-16
鏡面水庫	96.57	76.25	2026-01-16
阿公店水庫	1467.92	1135.0	2026-01-16
鳳山水庫	-1.0	447.64	2026-01-16
牡丹水庫	2622.08	2292.0	2026-01-16
成功水庫	121.0	108.32	2026-01-14
興仁水庫	74.0	33.31	2026-01-14
太湖水庫	148.08	128.54	2026-01-16
田埔水庫	48.62	37.24	2026-01-16
金沙水庫	43.47	33.4	2026-01-16
后沃水庫	41.63	29.16	2026-01-15
大埔水庫	529.9	-1.0	2026-01-15
石門水庫	20526.0	20278.25	2026-01-17
西勢水庫	39.6	23.23	2026-01-17
新山水庫	995.96	773.25	2026-01-17
翡翠水庫	36997.6	34672.19	2026-01-17
寶山水庫	500.83	366.24	2026-01-17
寶山第二水庫	3379.78	2402.59	2026-01-17
永和山水庫	2993.43	2199.92	2026-01-17
大埔水庫	529.9	-1.0	2026-01-17
明德水庫	1242.28	784.76	2026-01-17
鯉魚潭水庫	11584.35	7867.92	2026-01-17
德基水庫	18432.88	17425.5	2026-01-17
石岡壩	120.21	29.78	2026-01-17
霧社水庫	2572.22	1997.97	2026-01-17
日月潭水庫	12846.14	10831.21	2026-01-17
湖山水庫	5041.0	2930.34	2026-01-17
仁義潭水庫	2459.19	1206.76	2026-01-17
蘭潭水庫	919.7	507.94	2026-01-16
白河水庫	1404.16	366.0	2026-01-16
烏山頭水庫	7737.94	4576.0	2026-01-17
曾文水庫	49181.0	35482.0	2026-01-17
南化水庫	8522.63	5151.33	2026-01-17
鏡面水庫	96.57	75.94	2026-01-17
阿公店水庫	1467.92	1135.0	2026-01-17
牡丹水庫	2622.08	2283.0	2026-01-17
成功水庫	121.0	108.32	2026-01-14
興仁水庫	74.0	33.31	2026-01-14
太湖水庫	148.08	128.52	2026-01-17
田埔水庫	48.62	37.65	2026-01-17
金沙水庫	43.47	33.4	2026-01-17
后沃水庫	41.63	29.16	2026-01-15
鳳山水庫	-1.0	447.64	2026-01-16
石門水庫	20526.0	20261.23	2026-01-18
西勢水庫	39.6	23.67	2026-01-18
新山水庫	995.96	778.16	2026-01-18
翡翠水庫	36997.6	34573.56	2026-01-18
寶山水庫	500.83	358.13	2026-01-18
寶山第二水庫	3379.78	2385.24	2026-01-18
永和山水庫	2993.43	2191.06	2026-01-18
大埔水庫	529.9	-1.0	2026-01-18
明德水庫	1242.28	779.63	2026-01-18
鯉魚潭水庫	11584.35	7829.79	2026-01-18
德基水庫	18432.88	17343.61	2026-01-18
石岡壩	120.21	27.3	2026-01-18
霧社水庫	2572.22	1972.94	2026-01-18
日月潭水庫	12846.14	11180.58	2026-01-18
湖山水庫	5041.0	2909.93	2026-01-18
仁義潭水庫	2459.19	1200.96	2026-01-18
蘭潭水庫	919.7	498.16	2026-01-18
白河水庫	1404.16	366.0	2026-01-16
烏山頭水庫	7737.94	4879.0	2026-01-18
曾文水庫	49181.0	35057.0	2026-01-18
南化水庫	8522.63	5092.18	2026-01-18
鏡面水庫	96.57	75.74	2026-01-18
阿公店水庫	1467.92	1130.0	2026-01-18
牡丹水庫	2622.08	2274.0	2026-01-18
成功水庫	121.0	-1.0	2026-01-18
興仁水庫	74.0	-1.0	2026-01-18
太湖水庫	148.08	128.52	2026-01-18
田埔水庫	48.62	37.45	2026-01-18
金沙水庫	43.47	33.4	2026-01-18
后沃水庫	41.63	29.16	2026-01-15
鳳山水庫	-1.0	447.64	2026-01-16
石門水庫	20526.0	20227.02	2026-01-19
西勢水庫	39.6	24.11	2026-01-19
新山水庫	995.96	780.4	2026-01-19
翡翠水庫	36997.6	34501.9	2026-01-19
寶山水庫	500.83	352.11	2026-01-19
寶山第二水庫	3379.78	2369.03	2026-01-19
永和山水庫	2993.43	2179.29	2026-01-19
大埔水庫	529.9	-1.0	2026-01-19
明德水庫	1242.28	777.07	2026-01-19
鯉魚潭水庫	11584.35	7791.66	2026-01-19
德基水庫	18432.88	17327.28	2026-01-19
石岡壩	120.21	28.54	2026-01-19
霧社水庫	2572.22	1944.55	2026-01-19
日月潭水庫	12846.14	10993.94	2026-01-19
湖山水庫	5041.0	2891.15	2026-01-19
仁義潭水庫	2459.19	1195.16	2026-01-19
蘭潭水庫	919.7	493.59	2026-01-19
白河水庫	1404.16	355.0	2026-01-19
烏山頭水庫	7737.94	5216.0	2026-01-19
曾文水庫	49181.0	34618.0	2026-01-19
南化水庫	8522.63	5060.64	2026-01-19
鏡面水庫	96.57	75.43	2026-01-19
阿公店水庫	1467.92	1117.0	2026-01-19
牡丹水庫	2622.08	2263.0	2026-01-19
成功水庫	121.0	-1.0	2026-01-19
興仁水庫	74.0	-1.0	2026-01-19
太湖水庫	148.08	128.52	2026-01-19
田埔水庫	48.62	37.22	2026-01-19
金沙水庫	43.47	33.4	2026-01-19
后沃水庫	41.63	29.24	2026-01-19
鳳山水庫	-1.0	447.64	2026-01-16
